accuracy,precision,recall,f1,mcc,auc_pr,e_accuracy,n_samples,fold,feature_mode
0.6049879324215608,0.6085363409236434,0.6049879324215608,0.6050854444009699,0.5154027759369083,0.6416730189567665,0.8712791633145616,2486,1,full
0.5969428801287209,0.5967491451640758,0.5969428801287209,0.595376592844503,0.504275566957331,0.6429786157113312,0.8740949316170555,2486,2,full
0.6065969428801288,0.6055771485945194,0.6065969428801288,0.6036885161964761,0.5189104985820188,0.6469123539750385,0.8753016894609815,2486,3,full
0.6048289738430583,0.6044424311323578,0.6048289738430583,0.6040330981402341,0.5163184939694129,0.6381008102417635,0.8724346076458752,2485,4,full
0.6072434607645876,0.606602062743746,0.6072434607645876,0.6062687972277271,0.519071069482808,0.6429520007719666,0.869215291750503,2485,5,full
0.5289621882542237,0.5358245246765864,0.5289621882542237,0.5297681314507621,0.4231024568852561,0.5711244656327703,0.8656476267095736,2486,1,sequence
0.5430410297666934,0.5437616297738241,0.5430410297666934,0.5418445112600231,0.4378570989913666,0.5846302693616383,0.8592115848753017,2486,2,sequence
0.5345937248592116,0.5330425089220808,0.5345937248592116,0.5324760262692085,0.430174741419589,0.5849378224637091,0.8612228479485117,2486,3,sequence
0.5416498993963783,0.5422798053774174,0.5416498993963783,0.5417693454186893,0.4392167380813334,0.5862647293794833,0.8583501006036217,2485,4,sequence
0.5396378269617707,0.5408003832844228,0.5396378269617707,0.5393461420879921,0.4367258080004859,0.5963587271026385,0.8591549295774648,2485,5,sequence
0.2880128720836685,0.3143530753917927,0.2880128720836685,0.2948481254792255,0.1476029010047264,0.3072761985493694,0.6138374899436846,2486,1,substrate
0.2924376508447305,0.3186253197916344,0.2924376508447305,0.2970646951426279,0.1482015226800224,0.3153247762359477,0.6259050683829445,2486,2,substrate
0.2916331456154465,0.3013449173540804,0.2916331456154465,0.2922899651299211,0.1482138502716011,0.3058506926446709,0.6419951729686243,2486,3,substrate
0.2893360160965795,0.3183875214334021,0.2893360160965795,0.2943957916311652,0.1594196577163482,0.315494059917351,0.6160965794768611,2485,4,substrate
0.2845070422535211,0.3253441745194195,0.2845070422535211,0.2949145254918108,0.1560748333646091,0.3200345212409216,0.5790744466800805,2485,5,substrate
