metric,mean,std,min,max,n_folds,feature_mode
accuracy,0.6041200380076113,0.004143013800887063,0.5969428801287209,0.6072434607645876,5,full
e_accuracy,0.8724651367577954,0.002380715235353488,0.869215291750503,0.8753016894609815,5,full
precision,0.6043814257116684,0.00452437096395792,0.5967491451640758,0.6085363409236434,5,full
recall,0.6041200380076113,0.004143013800887063,0.5969428801287209,0.6072434607645876,5,full
f1,0.602890489761982,0.00431948591220726,0.595376592844503,0.6062687972277271,5,full
mcc,0.5147956809856957,0.006094485078437951,0.504275566957331,0.519071069482808,5,full
auc_pr,0.6425233599313733,0.003159758101536486,0.6381008102417635,0.6469123539750385,5,full
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5,full
accuracy,0.5375769338476555,0.0057837282636207,0.5289621882542237,0.5430410297666934,5,sequence
e_accuracy,0.8607174179428947,0.0029527746475983,0.8583501006036217,0.8656476267095736,5,sequence
precision,0.5391417704068664,0.0045317345084226,0.5330425089220808,0.5437616297738241,5,sequence
recall,0.5375769338476555,0.0057837282636207,0.5289621882542237,0.5430410297666934,5,sequence
f1,0.5370408312973349,0.0055784911227062,0.5297681314507621,0.5418445112600231,5,sequence
mcc,0.4334153686756062,0.0067305586378722,0.4231024568852561,0.4392167380813334,5,sequence
auc_pr,0.5846632027880478,0.0089822614183843,0.5711244656327703,0.5963587271026385,5,sequence
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5,sequence
accuracy,0.2891853453787892,0.0031564668645193,0.2845070422535211,0.2924376508447305,5,substrate
e_accuracy,0.615381751490439,0.0231307722880304,0.5790744466800805,0.6419951729686243,5,substrate
precision,0.3156110016980659,0.0088970974154774,0.3013449173540804,0.3253441745194195,5,substrate
recall,0.2891853453787892,0.0031564668645193,0.2845070422535211,0.2924376508447305,5,substrate
f1,0.2947026205749501,0.0017000383768756,0.2922899651299211,0.2970646951426279,5,substrate
mcc,0.1519025530074615,0.0054705106545412,0.1476029010047264,0.1594196577163482,5,substrate
auc_pr,0.3127960497176522,0.0060161434621025,0.3058506926446709,0.3200345212409216,5,substrate
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5,substrate
