metric,mean,std,min,max,n_folds,feature_mode
accuracy,0.6034755273394186,0.006729214097142819,0.5959758551307847,0.6098149637972646,5,full
e_accuracy,0.9036853138136948,0.002351450906504321,0.8998390989541432,0.9054325955734408,5,full
precision,0.6034439900914477,0.006748285926599195,0.5963402100112966,0.6101838154474711,5,full
recall,0.6034755273394186,0.006729214097142819,0.5959758551307847,0.6098149637972646,5,full
f1,0.6028911800576349,0.006561501308297475,0.5957619559523372,0.6093315033647335,5,full
mcc,0.5002236358150812,0.00824591089435186,0.4905219560190842,0.5080002641876628,5,full
auc_pr,0.6374175738764171,0.008718644782984003,0.623405136277213,0.645140973248226,5,full
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5,full
accuracy,0.486160535214505,0.0124557908915403,0.4708249496981891,0.5046277665995976,5,sequence
e_accuracy,0.8511426078595467,0.005418287730983,0.8455349959774738,0.8596138374899437,5,sequence
precision,0.4878361377848653,0.0156413358764391,0.4709973821757158,0.5128726262332423,5,sequence
recall,0.486160535214505,0.0124557908915403,0.4708249496981891,0.5046277665995976,5,sequence
f1,0.48536418645239,0.0119672741542978,0.4706133008727809,0.5024923519234602,5,sequence
mcc,0.3540160835485652,0.0173582203697891,0.3335947087310959,0.3806847317539127,5,sequence
auc_pr,0.5207553942950233,0.0113821183859129,0.5098258319091582,0.5377858843278707,5,sequence
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5,sequence
accuracy,0.3940292762204765,0.0131731521473336,0.3801287208366854,0.411504424778761,5,substrate
e_accuracy,0.781943859456012,0.0060670150624691,0.7739340305711987,0.7888173773129525,5,substrate
precision,0.4045844978186159,0.0122100308899783,0.3889359313745527,0.416865229662815,5,substrate
recall,0.3940292762204765,0.0131731521473336,0.3801287208366854,0.411504424778761,5,substrate
f1,0.393708073931463,0.0130658491506138,0.379213727398113,0.4101716216880902,5,substrate
mcc,0.2518814811065895,0.0152349963457301,0.2344014886571399,0.2699678804874006,5,substrate
auc_pr,0.4174324197770835,0.0141309926430406,0.4054195307189721,0.4349019068844751,5,substrate
n_samples,2485.6,0.5477225575051661,2485.0,2486.0,5,substrate
