Type	ECNumber	Substrate	EnzymeType	Organism	Value	Unit	UniProtID	pH	T (°C)	mutantSites	Prot.ReferenceIDs	LiteratureID


kcat	1.1.1.1	1-butanol	wildtype	Rattus norvegicus	0.833	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	ethanol	wildtype	Rattus norvegicus	1.0	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	benzyl alcohol	wildtype	Rattus norvegicus	1.0	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	1-Octanol	wildtype	Rattus norvegicus	1.0	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	Cyclohexanol	wildtype	Rattus norvegicus	1.5	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	1-Pentanol	wildtype	Rattus norvegicus	1.17	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	12-hydroxydodecanoate	wildtype	Rattus norvegicus	20.0	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	2-Buten-1-ol	wildtype	Rattus norvegicus	1.67	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	12-hydroxydodecanoate	wildtype	Rattus norvegicus	3.83	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	12-hydroxydodecanoate	wildtype	Rattus norvegicus	1.27	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	2-Buten-1-ol	wildtype	Rattus norvegicus	5.83	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	1-Octanol	wildtype	Rattus norvegicus	2.33	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	Cyclohexanol	wildtype	Rattus norvegicus	0.383	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	2-Buten-1-ol	wildtype	Rattus norvegicus	213.0	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	1-Pentanol	wildtype	Rattus norvegicus	3.53	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	1-butanol	wildtype	Rattus norvegicus	48.8	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	1-Pentanol	wildtype	Rattus norvegicus	48.8	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	1-Octanol	wildtype	Rattus norvegicus	60.8	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	ethanol	wildtype	Rattus norvegicus	62.7	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
kcat	1.1.1.1	benzyl alcohol	wildtype	Rattus norvegicus	89.7	s^(-1)	None	10.0	None	None	10,49,50,51,142,167,223,227	49
