evaluation,model,metric,mean,std,min,max
OOD,Full CatRange,wt_accuracy,0.35454545454545455,0.02032789070454355,0.3181818181818182,0.36363636363636365
OOD,Full CatRange,wt_e_accuracy,0.6636363636363636,0.060983672113630635,0.5909090909090909,0.7272727272727273
OOD,Full CatRange,md_accuracy,0.32727272727272727,0.049792959773196935,0.2727272727272727,0.4090909090909091
OOD,Full CatRange,md_e_accuracy,0.6909090909090908,0.0674199862463242,0.5909090909090909,0.7727272727272727
OOD,Full CatRange,joint_accuracy,0.08181818181818183,0.020327890704543543,0.045454545454545456,0.09090909090909091
OOD,Full CatRange,joint_e_accuracy,0.4454545454545455,0.0497929597731969,0.4090909090909091,0.5
OOD,No synthetic negatives,wt_accuracy,0.34545454545454546,0.0760600024121887,0.22727272727272727,0.4090909090909091
OOD,No synthetic negatives,wt_e_accuracy,0.7272727272727273,0.03214121732666126,0.6818181818181818,0.7727272727272727
OOD,No synthetic negatives,md_accuracy,0.2636363636363636,0.08131156281817417,0.13636363636363635,0.3181818181818182
OOD,No synthetic negatives,md_e_accuracy,0.6454545454545453,0.07468943965979538,0.5454545454545454,0.7272727272727273
OOD,No synthetic negatives,joint_accuracy,0.06363636363636363,0.040655781409087086,0.045454545454545456,0.13636363636363635
OOD,No synthetic negatives,joint_e_accuracy,0.42727272727272725,0.04065578140908707,0.36363636363636365,0.45454545454545453
10 negative holdout,Full CatRange,drop_call_accuracy_all10,0.9,0.07071067811865474,0.8,1.0
10 negative holdout,Full CatRange,expected_drop_recall,0.888888888888889,0.07856742013183861,0.7777777777777778,1.0
10 negative holdout,Full CatRange,no_drop_specificity,1.0,0.0,1.0,1.0
10 negative holdout,Full CatRange,mean_wt_minus_md_bin,2.12,0.23874672772626648,1.9,2.5
10 negative holdout,Full CatRange,n_observed_drop_ge2,8.0,0.7071067811865476,7.0,9.0
10 negative holdout,No synthetic negatives,drop_call_accuracy_all10,0.13999999999999999,0.05477225575051661,0.1,0.2
10 negative holdout,No synthetic negatives,expected_drop_recall,0.04444444444444444,0.06085806194501846,0.0,0.1111111111111111
10 negative holdout,No synthetic negatives,no_drop_specificity,1.0,0.0,1.0,1.0
10 negative holdout,No synthetic negatives,mean_wt_minus_md_bin,0.14,0.24083189157584592,-0.1,0.4
10 negative holdout,No synthetic negatives,n_observed_drop_ge2,0.4,0.5477225575051662,0.0,1.0
100 positive holdout,Full CatRange,accuracy,0.62,0.018708286933869722,0.59,0.64
100 positive holdout,Full CatRange,e_accuracy,0.858,0.024899799195977488,0.84,0.89
100 positive holdout,No synthetic negatives,accuracy,0.5900000000000001,0.023452078799117124,0.55,0.61
100 positive holdout,No synthetic negatives,e_accuracy,0.842,0.016431676725154998,0.83,0.87
