model,fold,n_pairs,wt_accuracy,wt_e_accuracy,md_accuracy,md_e_accuracy,joint_accuracy,joint_e_accuracy
Full CatRange,1,22,0.36363636363636365,0.6363636363636364,0.4090909090909091,0.7272727272727273,0.09090909090909091,0.4090909090909091
Full CatRange,2,22,0.36363636363636365,0.7272727272727273,0.3181818181818182,0.6818181818181818,0.09090909090909091,0.5
Full CatRange,3,22,0.36363636363636365,0.5909090909090909,0.2727272727272727,0.7727272727272727,0.045454545454545456,0.4090909090909091
Full CatRange,4,22,0.36363636363636365,0.7272727272727273,0.3181818181818182,0.6818181818181818,0.09090909090909091,0.5
Full CatRange,5,22,0.3181818181818182,0.6363636363636364,0.3181818181818182,0.5909090909090909,0.09090909090909091,0.4090909090909091
No synthetic negatives,1,22,0.36363636363636365,0.7272727272727273,0.3181818181818182,0.6818181818181818,0.045454545454545456,0.4090909090909091
No synthetic negatives,2,22,0.4090909090909091,0.7727272727272727,0.13636363636363635,0.5454545454545454,0.045454545454545456,0.45454545454545453
No synthetic negatives,3,22,0.4090909090909091,0.7272727272727273,0.22727272727272727,0.5909090909090909,0.045454545454545456,0.36363636363636365
No synthetic negatives,4,22,0.3181818181818182,0.6818181818181818,0.3181818181818182,0.6818181818181818,0.13636363636363635,0.45454545454545453
No synthetic negatives,5,22,0.22727272727272727,0.7272727272727273,0.3181818181818182,0.7272727272727273,0.045454545454545456,0.45454545454545453
